azimuth,elevation,port 1_bits,port 2_bits,port 3_bits,port 4_bits,port 5_bits,port 6_bits,port 7_bits,port 8_bits,port 9_bits,port 10_bits,port 11_bits,port 12_bits,port 13_bits,port 14_bits,port 15_bits,port 16_bits,port 17_bits,port 18_bits,port 19_bits,port 20_bits,port 21_bits,port 22_bits,port 23_bits,port 24_bits,port 25_bits
0,-10,'001011,'001011,'001011,'001011,'001011,'010111,'010111,'010111,'010111,'010111,'000000,'000000,'000000,'000000,'000000,'011000,'011000,'011000,'011000,'011000,'001100,'001100,'001100,'001100,'001100
0,-5,'010111,'010111,'010111,'010111,'010111,'101111,'101111,'101111,'101111,'101111,'000000,'000000,'000000,'000000,'000000,'110000,'110000,'110000,'110000,'110000,'011000,'011000,'011000,'011000,'011000
0,0,'010111,'010111,'010111,'010111,'010111,'101111,'101111,'101111,'101111,'101111,'000000,'000000,'000000,'000000,'000000,'110000,'110000,'110000,'110000,'110000,'011000,'011000,'011000,'011000,'011000
0,5,'011000,'011000,'011000,'011000,'011000,'110000,'110000,'110000,'110000,'110000,'000000,'000000,'000000,'000000,'000000,'101111,'101111,'101111,'101111,'101111,'010111,'010111,'010111,'010111,'010111
0,10,'001100,'001100,'001100,'001100,'001100,'011000,'011000,'011000,'011000,'011000,'000000,'000000,'000000,'000000,'000000,'010111,'010111,'010111,'010111,'010111,'001011,'001011,'001011,'001011,'001011
0,15,'100010,'100010,'100010,'100010,'100010,'100100,'100100,'100100,'100100,'100100,'000000,'000000,'000000,'000000,'000000,'111011,'111011,'111011,'111011,'111011,'111101,'111101,'111101,'111101,'111101
0,20,'111010,'111010,'111010,'111010,'111010,'110100,'110100,'110100,'110100,'110100,'000000,'000000,'000000,'000000,'000000,'101011,'101011,'101011,'101011,'101011,'100101,'100101,'100101,'100101,'100101
0,25,'001110,'001110,'001110,'001110,'001110,'011100,'011100,'011100,'011100,'011100,'000000,'000000,'000000,'000000,'000000,'010011,'010011,'010011,'010011,'010011,'001001,'001001,'001001,'001001,'001001
0,30,'100001,'100001,'100001,'100001,'100001,'100010,'100010,'100010,'100010,'100010,'000000,'000000,'000000,'000000,'000000,'111101,'111101,'111101,'111101,'111101,'111110,'111110,'111110,'111110,'111110
0,35,'011001,'011001,'011001,'011001,'011001,'110010,'110010,'110010,'110010,'110010,'000000,'000000,'000000,'000000,'000000,'101101,'101101,'101101,'101101,'101101,'010110,'010110,'010110,'010110,'010110
0,40,'110101,'110101,'110101,'110101,'110101,'011010,'011010,'011010,'011010,'011010,'000000,'000000,'000000,'000000,'000000,'010101,'010101,'010101,'010101,'010101,'101010,'101010,'101010,'101010,'101010
0,45,'111101,'111101,'111101,'111101,'111101,'000110,'000110,'000110,'000110,'000110,'000000,'000000,'000000,'000000,'000000,'000101,'000101,'000101,'000101,'000101,'100010,'100010,'100010,'100010,'100010
0,50,'110011,'110011,'110011,'110011,'110011,'010110,'010110,'010110,'010110,'010110,'000000,'000000,'000000,'000000,'000000,'011001,'011001,'011001,'011001,'011001,'101100,'101100,'101100,'101100,'101100
5,-50,'100010,'111100,'101100,'110100,'100100,'100101,'111001,'101001,'110001,'100001,'001000,'010000,'000000,'011111,'001111,'101110,'110110,'100110,'111010,'101010,'111011,'101011,'110011,'100011,'111101
5,-45,'101010,'110010,'100010,'011100,'001100,'001101,'100101,'111001,'101001,'110001,'001000,'010000,'000000,'011111,'001111,'110110,'100110,'111010,'001010,'010010,'001011,'010011,'111101,'101101,'110101
5,-40,'010110,'111010,'101010,'110010,'000010,'011101,'001101,'100101,'111001,'001001,'101000,'010000,'000000,'011111,'110111,'100110,'111010,'001010,'010010,'000010,'000011,'101101,'110101,'100101,'011001
5,-35,'111110,'001110,'010110,'111010,'001010,'100011,'011101,'001101,'100101,'011001,'101000,'110000,'000000,'101111,'110111,'111010,'001010,'010010,'111100,'101100,'001101,'100101,'011001,'001001,'100001
5,-30,'001001,'100001,'111110,'001110,'100110,'110011,'100011,'011101,'110101,'000101,'101000,'110000,'000000,'101111,'110111,'101010,'010010,'111100,'101100,'010100,'111001,'001001,'100001,'111110,'001110
5,-25,'100101,'111001,'001001,'100001,'011110,'011011,'110011,'000011,'011101,'110101,'011000,'110000,'000000,'101111,'010111,'010010,'000010,'101100,'010100,'111000,'010001,'111110,'001110,'100110,'111010
5,-20,'111101,'001101,'100101,'011001,'110001,'100111,'011011,'110011,'000011,'101101,'011000,'110000,'000000,'101111,'010111,'000010,'101100,'010100,'111000,'001000,'101110,'010110,'111010,'001010,'100010
5,-15,'101011,'010011,'111101,'001101,'100101,'001111,'100111,'011011,'110011,'000011,'011000,'110000,'000000,'101111,'010111,'101100,'010100,'111000,'001000,'100000,'111010,'001010,'100010,'011100,'110100
5,-10,'110111,'111011,'001011,'100011,'011101,'111111,'001111,'100111,'011011,'010011,'011000,'110000,'000000,'101111,'010111,'010100,'111000,'001000,'100000,'011111,'010010,'111100,'001100,'100100,'101000
5,-5,'000000,'101111,'010111,'111011,'001011,'010000,'111111,'001111,'000111,'101011,'011000,'110000,'000000,'101111,'010111,'000100,'001000,'100000,'011111,'110111,'001100,'100100,'011000,'110000,'000000
5,0,'011000,'110000,'000000,'101111,'010111,'101000,'010000,'011111,'110111,'000111,'011000,'110000,'000000,'101111,'010111,'101000,'010000,'011111,'110111,'000111,'011000,'110000,'000000,'101111,'010111
5,5,'001100,'100100,'011000,'110000,'000000,'000100,'001000,'100000,'011111,'110111,'011000,'110000,'000000,'101111,'010111,'010000,'111111,'001111,'000111,'101011,'000000,'101111,'010111,'111011,'001011
5,10,'010010,'111100,'001100,'100100,'101000,'010100,'111000,'001000,'100000,'011111,'011000,'110000,'000000,'101111,'010111,'111111,'001111,'100111,'011011,'010011,'110111,'111011,'001011,'100011,'011101
5,15,'111010,'001010,'100010,'011100,'110100,'101100,'010100,'111000,'001000,'100000,'011000,'110000,'000000,'101111,'010111,'001111,'100111,'011011,'110011,'000011,'101011,'010011,'111101,'001101,'100101
5,20,'101110,'010110,'111010,'001010,'100010,'000010,'101100,'010100,'111000,'001000,'011000,'110000,'000000,'101111,'010111,'100111,'011011,'110011,'000011,'101101,'111101,'001101,'100101,'011001,'110001
5,25,'010001,'111110,'001110,'100110,'111010,'010010,'000010,'101100,'010100,'111000,'011000,'110000,'000000,'101111,'010111,'011011,'110011,'000011,'011101,'110101,'100101,'111001,'001001,'100001,'011110
5,30,'111001,'001001,'100001,'111110,'001110,'101010,'010010,'111100,'101100,'010100,'101000,'110000,'000000,'101111,'110111,'110011,'100011,'011101,'110101,'000101,'001001,'100001,'111110,'001110,'100110
5,35,'001101,'100101,'011001,'001001,'100001,'111010,'001010,'010010,'111100,'101100,'101000,'110000,'000000,'101111,'110111,'100011,'011101,'001101,'100101,'011001,'111110,'001110,'010110,'111010,'001010
5,40,'000011,'101101,'110101,'100101,'011001,'100110,'111010,'001010,'010010,'000010,'101000,'010000,'000000,'011111,'110111,'011101,'001101,'100101,'111001,'001001,'010110,'111010,'101010,'110010,'000010
5,45,'001011,'010011,'111101,'101101,'110101,'110110,'100110,'111010,'001010,'010010,'001000,'010000,'000000,'011111,'001111,'001101,'100101,'111001,'101001,'110001,'101010,'110010,'100010,'011100,'001100
5,50,'111011,'101011,'110011,'100011,'111101,'101110,'110110,'100110,'111010,'101010,'001000,'010000,'000000,'011111,'001111,'100101,'111001,'101001,'110001,'100001,'100010,'111100,'101100,'110100,'100100
10,-50,'101010,'100010,'101100,'100100,'101000,'001101,'000101,'001001,'000001,'001110,'000100,'001000,'000000,'001111,'000111,'000001,'001110,'000110,'001010,'000010,'110111,'111011,'110011,'111101,'110101
10,-45,'010110,'101010,'100010,'001100,'000100,'111101,'110101,'011001,'010001,'101110,'100100,'001000,'000000,'001111,'111011,'011110,'010110,'101010,'100010,'101100,'000111,'001011,'111101,'110101,'011001
10,-40,'111110,'010110,'101010,'000010,'110100,'010011,'101101,'000101,'110001,'111110,'010100,'101000,'000000,'110111,'011011,'101110,'000110,'110010,'011100,'010100,'101011,'000011,'110101,'011001,'100001
10,-35,'001001,'111110,'010110,'001010,'111100,'001011,'111101,'010101,'101001,'000001,'010100,'101000,'000000,'110111,'011011,'110110,'011010,'100010,'001100,'011000,'100011,'001101,'011001,'100001,'001110
10,-30,'100101,'001001,'111110,'100110,'001010,'111011,'010011,'101101,'111001,'010001,'110100,'101000,'000000,'110111,'101011,'100110,'110010,'011100,'100100,'110000,'001101,'111001,'100001,'001110,'111010
10,-25,'111101,'100101,'001001,'011110,'000110,'010111,'101011,'111101,'100101,'001001,'110100,'011000,'000000,'010111,'101011,'111010,'100010,'110100,'011000,'000000,'000101,'010001,'001110,'111010,'100010
10,-20,'101011,'111101,'100101,'110001,'101110,'101111,'111011,'010011,'001101,'011001,'001100,'011000,'000000,'010111,'001011,'001010,'011100,'100100,'110000,'101111,'110001,'101110,'111010,'100010,'110100
10,-15,'110111,'101011,'111101,'100101,'110001,'000000,'010111,'001011,'011101,'000101,'001100,'011000,'000000,'010111,'001011,'010010,'001100,'011000,'000000,'010111,'101110,'111010,'100010,'110100,'101000
10,-10,'100000,'110111,'001011,'011101,'000101,'110000,'101111,'111011,'100011,'110101,'001100,'011000,'000000,'010111,'001011,'111100,'100100,'110000,'101111,'011011,'000110,'010010,'001100,'101000,'111111
10,-5,'111000,'000000,'010111,'001011,'011101,'011000,'000000,'010111,'001011,'011101,'001100,'011000,'000000,'010111,'001011,'001100,'011000,'000000,'010111,'110011,'010010,'001100,'011000,'000000,'100111
10,0,'001100,'011000,'000000,'010111,'001011,'100100,'110000,'101111,'111011,'000011,'001100,'011000,'000000,'010111,'001011,'100100,'110000,'101111,'111011,'000011,'001100,'011000,'000000,'010111,'001011
10,5,'010010,'001100,'011000,'000000,'100111,'001100,'011000,'000000,'010111,'110011,'001100,'011000,'000000,'010111,'001011,'011000,'000000,'010111,'001011,'011101,'111000,'000000,'010111,'001011,'011101
10,10,'000110,'010010,'001100,'101000,'111111,'111100,'100100,'110000,'101111,'011011,'001100,'011000,'000000,'010111,'001011,'110000,'101111,'111011,'100011,'110101,'100000,'110111,'001011,'011101,'000101
10,15,'101110,'111010,'100010,'110100,'101000,'010010,'001100,'011000,'000000,'010111,'001100,'011000,'000000,'010111,'001011,'000000,'010111,'001011,'011101,'000101,'110111,'101011,'111101,'100101,'110001
10,20,'110001,'101110,'111010,'100010,'110100,'001010,'011100,'100100,'110000,'101111,'001100,'011000,'000000,'010111,'001011,'101111,'111011,'010011,'001101,'011001,'101011,'111101,'100101,'110001,'101110
10,25,'000101,'010001,'001110,'111010,'100010,'111010,'100010,'110100,'011000,'000000,'110100,'011000,'000000,'010111,'101011,'010111,'101011,'111101,'100101,'001001,'111101,'100101,'001001,'011110,'000110
10,30,'001101,'111001,'100001,'001110,'111010,'100110,'110010,'011100,'100100,'110000,'110100,'101000,'000000,'110111,'101011,'111011,'010011,'101101,'111001,'010001,'100101,'001001,'111110,'100110,'001010
10,35,'100011,'001101,'011001,'100001,'001110,'110110,'011010,'100010,'001100,'011000,'010100,'101000,'000000,'110111,'011011,'001011,'111101,'010101,'101001,'000001,'001001,'111110,'010110,'001010,'111100
10,40,'101011,'000011,'110101,'011001,'100001,'101110,'000110,'110010,'011100,'010100,'010100,'101000,'000000,'110111,'011011,'010011,'101101,'000101,'110001,'111110,'111110,'010110,'101010,'000010,'110100
10,45,'000111,'001011,'111101,'110101,'011001,'011110,'010110,'101010,'100010,'101100,'100100,'001000,'000000,'001111,'111011,'111101,'110101,'011001,'010001,'101110,'010110,'101010,'100010,'001100,'000100
10,50,'110111,'111011,'110011,'111101,'110101,'000001,'001110,'000110,'001010,'000010,'000100,'001000,'000000,'001111,'000111,'001101,'000101,'001001,'000001,'001110,'101010,'100010,'101100,'100100,'101000
15,-50,'100110,'110010,'101100,'111000,'100000,'111101,'100101,'110001,'101110,'111010,'001100,'011000,'000000,'010111,'001011,'110001,'101110,'111010,'100010,'110100,'111111,'100111,'110011,'101101,'111001
15,-45,'011110,'111010,'100010,'010100,'001000,'010011,'001101,'101001,'011110,'000110,'101100,'111000,'000000,'100111,'110011,'010001,'110110,'001010,'011100,'111000,'001111,'011011,'111101,'100101,'010001
15,-40,'110001,'001110,'101010,'011100,'111000,'101011,'011101,'111001,'000001,'100110,'011100,'111000,'000000,'100111,'010011,'000001,'100110,'010010,'110100,'001000,'100111,'010011,'110101,'001001,'101110
15,-35,'100101,'100001,'010110,'010010,'010100,'000111,'100011,'100101,'100001,'010110,'111100,'000100,'000000,'000111,'100011,'111110,'111010,'111100,'000100,'000000,'011011,'011101,'011001,'111110,'111010
15,-30,'111101,'111001,'111110,'011010,'011100,'110111,'110011,'110101,'110001,'110110,'000010,'000100,'000000,'000111,'000011,'101110,'101010,'101100,'101000,'101111,'010011,'010101,'100001,'100110,'100010
15,-25,'101011,'001101,'001001,'110110,'110010,'111111,'011011,'011101,'101001,'101110,'100010,'000100,'000000,'000111,'111101,'110110,'010010,'010100,'100000,'100111,'101101,'101001,'001110,'001010,'110100
15,-20,'110111,'010011,'100101,'000001,'000110,'010000,'100111,'000011,'111001,'111110,'100010,'100100,'000000,'111011,'111101,'100110,'000010,'111000,'011111,'011011,'000101,'000001,'111010,'011100,'101000
15,-15,'100000,'000111,'111101,'011001,'101110,'101000,'001111,'110011,'010101,'100001,'010010,'100100,'000000,'111011,'011101,'011010,'101100,'001000,'110111,'010011,'110001,'010110,'100010,'000100,'111111
15,-10,'111000,'011111,'001011,'110101,'010001,'000100,'111111,'011011,'001101,'110001,'010010,'100100,'000000,'111011,'011101,'001010,'010100,'100000,'000111,'111101,'011110,'101010,'001100,'010000,'100111
15,-5,'101100,'110000,'010111,'100011,'000101,'110100,'010000,'000111,'111101,'011001,'110010,'100100,'000000,'111011,'101101,'100010,'000100,'011111,'101011,'001101,'000110,'111100,'011000,'101111,'110011
15,0,'110010,'100100,'000000,'111011,'101101,'011100,'101000,'110111,'010011,'100101,'110010,'100100,'000000,'111011,'101101,'011100,'101000,'110111,'010011,'100101,'110010,'100100,'000000,'111011,'101101
15,5,'000110,'111100,'011000,'101111,'110011,'100010,'000100,'011111,'101011,'001101,'110010,'100100,'000000,'111011,'101101,'110100,'010000,'000111,'111101,'011001,'101100,'110000,'010111,'100011,'000101
15,10,'011110,'101010,'001100,'010000,'100111,'001010,'010100,'100000,'000111,'111101,'010010,'100100,'000000,'111011,'011101,'000100,'111111,'011011,'001101,'110001,'111000,'011111,'001011,'110101,'010001
15,15,'110001,'010110,'100010,'000100,'111111,'011010,'101100,'001000,'110111,'010011,'010010,'100100,'000000,'111011,'011101,'101000,'001111,'110011,'010101,'100001,'100000,'000111,'111101,'011001,'101110
15,20,'000101,'000001,'111010,'011100,'101000,'100110,'000010,'111000,'011111,'011011,'100010,'100100,'000000,'111011,'111101,'010000,'100111,'000011,'111001,'111110,'110111,'010011,'100101,'000001,'000110
15,25,'101101,'101001,'001110,'001010,'110100,'110110,'010010,'010100,'100000,'100111,'100010,'000100,'000000,'000111,'111101,'111111,'011011,'011101,'101001,'101110,'101011,'001101,'001001,'110110,'110010
15,30,'010011,'010101,'100001,'100110,'100010,'101110,'101010,'101100,'101000,'101111,'000010,'000100,'000000,'000111,'000011,'110111,'110011,'110101,'110001,'110110,'111101,'111001,'111110,'011010,'011100
15,35,'011011,'011101,'011001,'111110,'111010,'111110,'111010,'111100,'000100,'000000,'111100,'000100,'000000,'000111,'100011,'000111,'100011,'100101,'100001,'010110,'100101,'100001,'010110,'010010,'010100
15,40,'100111,'010011,'110101,'001001,'101110,'000001,'100110,'010010,'110100,'001000,'011100,'111000,'000000,'100111,'010011,'101011,'011101,'111001,'000001,'100110,'110001,'001110,'101010,'011100,'111000
15,45,'001111,'011011,'111101,'100101,'010001,'010001,'110110,'001010,'011100,'111000,'101100,'111000,'000000,'100111,'110011,'010011,'001101,'101001,'011110,'000110,'011110,'111010,'100010,'010100,'001000
15,50,'111111,'100111,'110011,'101101,'111001,'110001,'101110,'111010,'100010,'110100,'001100,'011000,'000000,'010111,'001011,'111101,'100101,'110001,'101110,'111010,'100110,'110010,'101100,'111000,'100000
20,-50,'101110,'101010,'101100,'101000,'101111,'010011,'010101,'010001,'110110,'110010,'000010,'000100,'000000,'000111,'000011,'101001,'011110,'011010,'011100,'011000,'110000,'110111,'110011,'110101,'110001
20,-45,'010001,'100110,'100010,'000100,'111111,'101011,'101101,'001001,'110110,'110010,'100010,'100100,'000000,'111011,'111101,'101001,'001110,'110010,'110100,'010000,'100000,'000111,'111101,'111001,'011110
20,-40,'000101,'011110,'101010,'001100,'010000,'100111,'111101,'011001,'001110,'110010,'110010,'100100,'000000,'111011,'101101,'001001,'010110,'100010,'111000,'011111,'011111,'001011,'110101,'010001,'000110
20,-35,'011101,'001001,'010110,'000010,'101000,'001111,'010011,'000101,'011110,'001010,'001010,'010100,'000000,'011011,'001101,'010001,'000110,'011100,'001000,'010111,'110111,'000011,'011001,'001110,'010010
20,-30,'001011,'100101,'111110,'001010,'100100,'111111,'101011,'010101,'111110,'101010,'101010,'110100,'000000,'101011,'110101,'100001,'011010,'110100,'100000,'011011,'111011,'001101,'100001,'111010,'001100
20,-25,'010111,'111101,'001001,'100110,'101100,'110000,'111011,'001101,'100001,'011010,'011010,'110100,'000000,'101011,'010101,'111110,'001010,'100100,'101111,'010011,'110011,'111001,'001110,'100010,'011000
20,-20,'000000,'101011,'100101,'011110,'010010,'011000,'010111,'111101,'110001,'000110,'111010,'001100,'000000,'001011,'100101,'101110,'100010,'011000,'010111,'111101,'011101,'010001,'111010,'110100,'000000
20,-15,'011000,'110111,'111101,'110001,'111010,'100100,'101111,'100011,'011001,'010110,'000110,'001100,'000000,'001011,'000101,'010110,'111100,'110000,'111011,'110101,'100101,'101110,'100010,'101000,'010111
20,-10,'101100,'000000,'001011,'000101,'001110,'001100,'000000,'001011,'000101,'001110,'000110,'001100,'000000,'001011,'000101,'000110,'001100,'000000,'001011,'000101,'001001,'000110,'001100,'000000,'110011
20,-5,'110010,'011000,'010111,'011101,'010001,'111100,'110000,'111011,'110101,'011110,'100110,'001100,'000000,'001011,'111001,'101010,'100100,'101111,'100011,'001001,'011110,'010010,'011000,'010111,'101101
20,0,'100110,'001100,'000000,'001011,'111001,'010010,'011000,'010111,'011101,'100001,'100110,'001100,'000000,'001011,'111001,'010010,'011000,'010111,'011101,'100001,'100110,'001100,'000000,'001011,'111001
20,5,'011110,'010010,'011000,'010111,'101101,'101010,'100100,'101111,'100011,'001001,'100110,'001100,'000000,'001011,'111001,'111100,'110000,'111011,'110101,'011110,'110010,'011000,'010111,'011101,'010001
20,10,'001001,'000110,'001100,'000000,'110011,'000110,'001100,'000000,'001011,'000101,'000110,'001100,'000000,'001011,'000101,'001100,'000000,'001011,'000101,'001110,'101100,'000000,'001011,'000101,'001110
20,15,'100101,'101110,'100010,'101000,'010111,'010110,'111100,'110000,'111011,'110101,'000110,'001100,'000000,'001011,'000101,'100100,'101111,'100011,'011001,'010110,'011000,'110111,'111101,'110001,'111010
20,20,'011101,'010001,'111010,'110100,'000000,'101110,'100010,'011000,'010111,'111101,'111010,'001100,'000000,'001011,'100101,'011000,'010111,'111101,'110001,'000110,'000000,'101011,'100101,'011110,'010010
20,25,'110011,'111001,'001110,'100010,'011000,'111110,'001010,'100100,'101111,'010011,'011010,'110100,'000000,'101011,'010101,'110000,'111011,'001101,'100001,'011010,'010111,'111101,'001001,'100110,'101100
20,30,'111011,'001101,'100001,'111010,'001100,'100001,'011010,'110100,'100000,'011011,'101010,'110100,'000000,'101011,'110101,'111111,'101011,'010101,'111110,'101010,'001011,'100101,'111110,'001010,'100100
20,35,'110111,'000011,'011001,'001110,'010010,'010001,'000110,'011100,'001000,'010111,'001010,'010100,'000000,'011011,'001101,'001111,'010011,'000101,'011110,'001010,'011101,'001001,'010110,'000010,'101000
20,40,'011111,'001011,'110101,'010001,'000110,'001001,'010110,'100010,'111000,'011111,'110010,'100100,'000000,'111011,'101101,'100111,'111101,'011001,'001110,'110010,'000101,'011110,'101010,'001100,'010000
20,45,'100000,'000111,'111101,'111001,'011110,'101001,'001110,'110010,'110100,'010000,'100010,'100100,'000000,'111011,'111101,'101011,'101101,'001001,'110110,'110010,'010001,'100110,'100010,'000100,'111111
20,50,'110000,'110111,'110011,'110101,'110001,'101001,'011110,'011010,'011100,'011000,'000010,'000100,'000000,'000111,'000011,'010011,'010101,'010001,'110110,'110010,'101110,'101010,'101100,'101000,'101111
25,-50,'000001,'111010,'101100,'110000,'100111,'101011,'110101,'100001,'000110,'011100,'001010,'010100,'000000,'011011,'001101,'000101,'111110,'101010,'110100,'100000,'111000,'101111,'110011,'100101,'000001
25,-45,'011001,'110110,'100010,'011000,'110111,'000111,'011101,'110001,'000110,'101100,'011010,'110100,'000000,'101011,'010101,'000101,'101110,'010010,'000100,'101111,'101000,'010111,'111101,'101001,'010110
25,-40,'001101,'100001,'101010,'100100,'011111,'001111,'000011,'101001,'100110,'101100,'111010,'001100,'000000,'001011,'100101,'111001,'110110,'000010,'001000,'000111,'010000,'111011,'110101,'111110,'001010
25,-35,'110011,'011001,'010110,'101100,'100000,'111111,'110011,'111001,'010110,'011100,'100110,'001100,'000000,'001011,'111001,'011001,'100110,'101100,'100000,'001011,'111111,'110011,'011001,'010110,'101100
25,-30,'100111,'001101,'111110,'100010,'001000,'110000,'011011,'100101,'001110,'011100,'010110,'101100,'000000,'110011,'011001,'001001,'111010,'010100,'101111,'000011,'001111,'111101,'100001,'001010,'111000
25,-25,'111111,'100011,'001001,'011010,'000100,'111000,'100111,'110101,'101110,'111100,'001110,'011100,'000000,'010011,'001001,'110001,'101010,'111000,'100111,'001101,'000111,'010101,'001110,'111100,'100000
25,-20,'011000,'111011,'100101,'110110,'101100,'010100,'001111,'101101,'111110,'100010,'101110,'011100,'000000,'010011,'110001,'100001,'110010,'001000,'011011,'000101,'110011,'101001,'111010,'100100,'010111
25,-15,'001100,'101111,'111101,'000001,'100010,'101100,'111111,'000011,'100001,'110010,'101110,'111100,'000000,'100011,'110001,'111110,'000010,'100000,'110011,'001001,'111101,'000001,'100010,'110000,'001011
25,-10,'010010,'110000,'001011,'101001,'011010,'100010,'010000,'110011,'001001,'101010,'011110,'111100,'000000,'100011,'010001,'001110,'101100,'011111,'111101,'000001,'010101,'110110,'001100,'101111,'011101
25,-5,'000110,'100100,'010111,'110101,'001110,'001010,'101000,'011011,'011001,'111010,'011110,'111100,'000000,'100011,'010001,'010110,'010100,'110111,'001101,'101110,'001001,'101010,'011000,'111011,'000101
25,0,'011110,'111100,'000000,'100011,'010001,'111010,'000100,'000111,'100101,'010110,'011110,'111100,'000000,'100011,'010001,'111010,'000100,'000111,'100101,'010110,'011110,'111100,'000000,'100011,'010001
25,5,'001001,'101010,'011000,'111011,'000101,'010110,'010100,'110111,'001101,'101110,'011110,'111100,'000000,'100011,'010001,'001010,'101000,'011011,'011001,'111010,'000110,'100100,'010111,'110101,'001110
25,10,'010101,'110110,'001100,'101111,'011101,'001110,'101100,'011111,'111101,'000001,'011110,'111100,'000000,'100011,'010001,'100010,'010000,'110011,'001001,'101010,'010010,'110000,'001011,'101001,'011010
25,15,'111101,'000001,'100010,'110000,'001011,'111110,'000010,'100000,'110011,'001001,'101110,'111100,'000000,'100011,'110001,'101100,'111111,'000011,'100001,'110010,'001100,'101111,'111101,'000001,'100010
